id,code,name,level
code_100,100,Activo,0
code_100_01,100.01,Activo a corto plazo,0
code_101,101,Caja,1
code_101_01,101.01,Caja y efectivo,2
code_102,102,Bancos,1
code_102_01,102.01,Bancos nacionales,2
code_102_02,102.02,Bancos extranjeros,2
code_103,103,Inversiones,1
code_103_01,103.01,Inversiones temporales,2
code_103_02,103.02,Inversiones en fideicomisos,2
code_103_03,103.03,Otras inversiones,2
code_104,104,Otros instrumentos financieros,1
code_104_01,104.01,Otros instrumentos financieros,2
code_105,105,Clientes,1
code_105_01,105.01,Clientes nacionales,2
code_105_02,105.02,Clientes extranjeros,2
code_105_03,105.03,Clientes nacionales parte relacionada,2
code_105_04,105.04,Clientes extranjeros parte relacionada,2
code_106,106,Cuentas y documentos por cobrar a corto plazo,1
code_106_01,106.01,Cuentas y documentos por cobrar a corto plazo nacional,2
code_106_02,106.02,Cuentas y documentos por cobrar a corto plazo extranjero,2
code_106_03,106.03,Cuentas y documentos por cobrar a corto plazo nacional parte relacionada,2
code_106_04,106.04,Cuentas y documentos por cobrar a corto plazo extranjero parte relacionada,2
code_106_05,106.05,Intereses por cobrar a corto plazo nacional,2
code_106_06,106.06,Intereses por cobrar a corto plazo extranjero,2
code_106_07,106.07,Intereses por cobrar a corto plazo nacional parte relacionada,2
code_106_08,106.08,Intereses por cobrar a corto plazo extranjero parte relacionada,2
code_106_09,106.09,Otras cuentas y documentos por cobrar a corto plazo,2
code_106_10,106.10,Otras cuentas y documentos por cobrar a corto plazo parte relacionada,2
code_107,107,Deudores diversos,1
code_107_01,107.01,Funcionarios y empleados,2
code_107_02,107.02,Socios y accionistas,2
code_107_03,107.03,Partes relacionadas nacionales,2
code_107_04,107.04,Partes relacionadas extranjeros,2
code_107_05,107.05,Otros deudores diversos,2
code_108,108,Estimación de cuentas incobrables,1
code_108_01,108.01,Estimación de cuentas incobrables nacional,2
code_108_02,108.02,Estimación de cuentas incobrables extranjero,2
code_108_03,108.03,Estimación de cuentas incobrables nacional parte relacionada,2
code_108_04,108.04,Estimación de cuentas incobrables extranjero parte relacionada,2
code_109,109,Pagos anticipados,1
code_109_01,109.01,Seguros y fianzas pagados por anticipado nacional,2
code_109_02,109.02,Seguros y fianzas pagados por anticipado extranjero,2
code_109_03,109.03,Seguros y fianzas pagados por anticipado nacional parte relacionada,2
code_109_04,109.04,Seguros y fianzas pagados por anticipado extranjero parte relacionada,2
code_109_05,109.05,Rentas pagadas por anticipado nacional,2
code_109_06,109.06,Rentas pagadas por anticipado extranjero,2
code_109_07,109.07,Rentas pagadas por anticipado nacional parte relacionada,2
code_109_08,109.08,Rentas pagadas por anticipado extranjero parte relacionada,2
code_109_09,109.09,Intereses pagados por anticipado nacional,2
code_109_10,109.10,Intereses pagados por anticipado extranjero,2
code_109_11,109.11,Intereses pagados por anticipado nacional parte relacionada,2
code_109_12,109.12,Intereses pagados por anticipado extranjero parte relacionada,2
code_109_13,109.13,Factoraje financiero pagados por anticipado nacional,2
code_109_14,109.14,Factoraje financiero pagados por anticipado extranjero,2
code_109_15,109.15,Factoraje financiero pagados por anticipado nacional parte relacionada,2
code_109_16,109.16,Factoraje financiero pagados por anticipado extranjero parte relacionada,2
code_109_17,109.17,Arrendamiento financiero pagados por anticipado nacional,2
code_109_18,109.18,Arrendamiento financiero pagados por anticipado extranjero,2
code_109_19,109.19,Arrendamiento financiero pagados por anticipado nacional parte relacionada,2
code_109_20,109.20,Arrendamiento financiero pagados por anticipado extranjero parte relacionada,2
code_109_21,109.21,Pérdida por deterioro de pagos anticipados,2
code_109_22,109.22,Derechos fiduciarios,2
code_109_23,109.23,Otros pagos anticipados,2
code_110,110,Subsidio al empleo por aplicar,1
code_110_01,110.01,Subsidio al empleo por aplicar,2
code_111,111,Crédito al diésel por acreditar,1
code_111_01,111.01,Crédito al diésel por acreditar,2
code_112,112,Otros estímulos,1
code_112_01,112.01,Otros estímulos,2
code_113,113,Impuestos a favor,1
code_113_01,113.01,IVA a favor,2
code_113_02,113.02,ISR a favor,2
code_113_03,113.03,IETU a favor,2
code_113_04,113.04,IDE a favor,2
code_113_05,113.05,IA a favor,2
code_113_06,113.06,Subsidio al empleo,2
code_113_07,113.07,Pago de lo indebido,2
code_113_08,113.08,Otros impuestos a favor,2
code_114,114,Pagos provisionales,1
code_114_01,114.01,Pagos provisionales de ISR,2
code_115,115,Inventario,1
code_115_01,115.01,Inventario,2
code_115_02,115.02,Materia prima y materiales,2
code_115_03,115.03,Producción en proceso,2
code_115_04,115.04,Productos terminados,2
code_115_05,115.05,Mercancías en tránsito,2
code_115_06,115.06,Mercancías en poder de terceros,2
code_115_07,115.07,Otros,2
code_116,116,Estimación de inventarios obsoletos y de lento movimiento,1
code_116_01,116.01,Estimación de inventarios obsoletos y de lento movimiento,2
code_117,117,Obras en proceso de inmuebles,1
code_117_01,117.01,Obras en proceso de inmuebles,2
code_118,118,Impuestos acreditables pagados,1
code_118_01,118.01,IVA acreditable pagado,2
code_118_02,118.02,IVA acreditable de importación pagado,2
code_118_03,118.03,IEPS acreditable pagado,2
code_118_04,118.04,IEPS pagado en importación,2
code_119,119,Impuestos acreditables por pagar,1
code_119_01,119.01,IVA pendiente de pago,2
code_119_02,119.02,IVA de importación pendiente de pago,2
code_119_03,119.03,IEPS pendiente de pago,2
code_119_04,119.04,IEPS pendiente de pago en importación,2
code_120,120,Anticipo a proveedores,1
code_120_01,120.01,Anticipo a proveedores nacional,2
code_120_02,120.02,Anticipo a proveedores extranjero,2
code_120_03,120.03,Anticipo a proveedores nacional parte relacionada,2
code_120_04,120.04,Anticipo a proveedores extranjero parte relacionada,2
code_121,121,Otros activos a corto plazo,1
code_121_01,121.01,Otros activos a corto plazo,2
code_100_02,100.02,Activo a largo plazo,0
code_151,151,Terrenos,1
code_151_01,151.01,Terrenos,2
code_152,152,Edificios,1
code_152_01,152.01,Edificios,2
code_153,153,Maquinaria y equipo,1
code_153_01,153.01,Maquinaria y equipo,2
