ean,marca,nombre
7501033954061,ABBOTT,ENSURE CHOCOLATE C/237ML
7501033954085,ABBOTT,ENSURE VAINILLA C/237ML
7501033956140,ABBOTT,GLUCERNA FRESA C/ 237ML
7501033956126,ABBOTT,GLUCERNA VAINILLA C/237ML
7501089809490,ARMSTRONG,ESKAPAR 200MG C/16 CAPS (NIFUROXAZIDA)(ARMSTRONG)
7501089809513,ARMSTRONG,ESKAPAR 220MG/5ML SUSPENSION 90ML (NIFUROXAZIDA)(ARMSTRONG)
7501089809506,ARMSTRONG,ESKAPAR 400MG C/16 CAPS (NIFUROXAZIDA)(ARMSTRONG)
7501089809445,ARMSTRONG,ESKAPAR COMPUESTO 200/600MG C/20 CAPS (NIFUROXAZIDA, METRONIDAZOL)(ARMSTRONG)
7501089809315,ARMSTRONG,ESKAPAR COMPUESTO SUSPENSION 120ML (NIFUROXAZIDA, METRONIDAZOL)(ARMSTRONG)
7501089809179,ARMSTRONG,KAOMYCIN "S" SIMPLE C/180ML SUSP(CAOLIN, PECTINA)(ARMSTRONG)
7501089809452,ARMSTRONG,KAOMYCIN C/180ML SUSP (NEOMICINA,CAOLIN, PECTINA)(ARMSTRONG)
7501089809469,ARMSTRONG,KAOMYCIN C/20 TABLETAS (NEOMICINA, CAOLIN, PECTINA)(ARMSTRONG)
7501089804327,ARMSTRONG,RECOVERON NC CREMA 40GR (ACIDO ACEXAMICO, NEOMICINA)(ARMSTRONG)
7501089804013,ARMSTRONG,RECOVERON UNG 40GR (ACIDO ACEXAMICO) (ARMSTRONG)
7501089804136,ARMSTRONG,RECOVERON-C CREMA 40GR (ACIDO ACEXAMICO)(ARMSTRONG)
7501089804310,ARMSTRONG,RECOVERON-N UNG 40GR (ACIDO ACEXAMICO/NEOMICINA)(ARMSTRONG)
7501089830081,ARMSTRONG,VALPROATO DE MAGNESIO 200MG / SOL GTA C/40ML (ARMSTRONG)
7501089809919,ARMSTRONG,ZYPLO 60MG C/20 TBS (LEVODROPROPIZINA)(ARMSTRONG)
